raw_venue_string,canonical_venue,altitude_m,altitude_source,confidence,notes
"Atletiek Centrum Sportlaan, Drachten (NED)","Atletiek Centrum Sportlaan, Drachten",1,llm_gemini_v4,high,"The city of Drachten, Netherlands, is located in a low-lying area. Topographic data for the specific location of the athletics track confirms an elevation of approximately 1 metre above sea level."
"Městský atletický stadion Dany Zátopkové, Uherské Hradiste (CZE)","Mestsky Atleticky Stadion Dany Zatopkove, Uherske Hradiste",180,llm_gemini_v4,high,"Elevation derived from topographic data for the stadium's specific coordinates (approx. 49.063°N, 17.478°E) in Uherske Hradiste."
"Zeytinköy Atletizm Pisti, Antalya (TUR)","Zeytinkoy Atletizm Pisti, Antalya",48,llm_gemini_v4,high,"Elevation derived from geographic coordinates (36.892°N, 30.743°E) of the specific athletics track using a digital elevation model."
"Pascual Guerrero Stadium, Cali (COL)","Pascual Guerrero Stadium, Cali",987,llm_gemini_v4,high,"The stadium is located in Cali, Colombia. Topographical data for the stadium's specific coordinates indicates an elevation of approximately 987 meters above sea level."
"Městský stadion, Jicin (CZE)","Mestsky Stadion, Jicin",288,llm_gemini_v4,high,"Altitude derived from topographical data for the specific stadium location in Jičín, Czech Republic."
"Mitre10 Sports Park, Hastings (NZL)","Mitre10 Sports Park, Hastings",13,llm_gemini_v4,high,"Elevation derived from topographic map data for the specific coordinates of the venue in Hastings, New Zealand."
"Complexo Desportivo de Leça da Palmeira, Matosinhos (POR)","Complexo Desportivo de Leça da Palmeira, Matosinhos",8,llm_gemini_v4,high,"The venue is located in the coastal parish of Leça da Palmeira, very close to the Atlantic Ocean. Elevation was determined using a digital elevation model for the venue's specific coordinates."
"LSU maniežas, Kaunas (LTU)","LSU Maniezas, Kaunas",77,llm_gemini_v4,high,"Identified as the Lithuanian Sports University (LSU) Indoor Arena. Altitude determined from topographic map data for the venue's specific address (Sporto g. 6, Kaunas)."
"Army-Gillis FH, West Point, NY (USA)","Army-Gillis Field House, West Point",102,llm_gemini_v4,high,"Elevation of the Gillis Field House at the US Military Academy, West Point, derived from topographical map data (approx. 335 ft)."
"Urheilupuisto, Paimio (FIN)","Urheilupuisto, Paimio",13,llm_gemini_v4,high,Elevation derived from topographic map data for the specific coordinates of the Paimio sports park (Urheilupuisto).
"Hala RKS, Łódź (POL)","Hala RKS, Lodz",208,llm_gemini_v4,high,"Altitude based on topographic data for the specific venue address in Łódź, Poland. The city's elevation ranges from 162m to 284m."
Cuenca (ECU),Cuenca,2536,llm_gemini_v4,high,"Cuenca is a well-known high-altitude city in Ecuador. The main athletics venue, Pista Atlética Jefferson Pérez Quezada, is located at approximately 2,536 meters above sea level."
"Municipal Stadium, Agios Dimitrios, Athina (GRE)","Municipal Stadium, Agios Dimitrios, Athens",75,llm_gemini_v4,high,"Altitude derived from topographical data for the stadium's specific coordinates (approx. 37.94° N, 23.73° E)."
"Utilita Arena Birmingham, Birmingham (GBR)","Utilita Arena Birmingham, Birmingham",139,llm_gemini_v4,high,"Elevation derived from topographic map data for the specific indoor arena address. The venue is adjacent to the Birmingham Canal Navigations Main Line, which is at a level of 453 feet (138m)."
"Gradski stadion, Ćuprija (SRB)","Gradski Stadion, Cuprija",122,llm_gemini_v4,high,"Elevation of the stadium's specific coordinates in Cuprija, Serbia, confirmed via topographical data. The city's average elevation is ~124m."
"Municipal Stadium, Mito (JPN)","Municipal Stadium, Mito",29,llm_gemini_v4,high,"Elevation for K's denki Stadium Mito (the common name for the Municipal Stadium) derived from topographic data for its specific coordinates (approx. 36.3775° N, 140.4133° E)."
"Vanderbilt Multipurpose Facility, Nashville, TN (USA)","Vanderbilt Multipurpose Facility, Nashville",158,llm_gemini_v4,high,"Elevation of the Vanderbilt University campus in Nashville, TN, confirmed via topographical maps (USGS)."
Birmingham (GBR),"Alexander Stadium, Birmingham",142,llm_gemini_v4,high,"Assumed the primary outdoor athletics venue, the Alexander Stadium, host of the 2022 Commonwealth Games. Altitude is based on topographical data for the stadium's specific location."
"Piste d'athletisme taza, Taza (MAR)","Piste d'Athletisme Taza, Taza",583,llm_gemini_v4,high,"Elevation of the specific athletics track in Taza, Morocco, determined from satellite and topographic map data."
Dortmund (GER),"Helmut Koernig Halle, Dortmund",103,llm_gemini_v4,high,"Inferred the venue as the Helmut Koernig Halle, the primary indoor athletics venue in Dortmund. Altitude was determined using topographic data for the venue's specific location."
"AccorHotels Arena de Bercy, Paris (FRA)","AccorHotels Arena de Bercy, Paris",36,llm_gemini_v4,high,"Elevation of the venue's specific location in the Bercy district of Paris, based on official topographic map data. The venue is located near the River Seine where the elevation is lower than the city average."
"Kuortaneen keskusurheilukenttä, Kuortane (FIN)","Kuortaneen Keskusurheilukenttä, Kuortane",107,llm_gemini_v4,high,Elevation derived from topographical map data for the specific coordinates of the athletics venue in Kuortane.
"Rimnersvallen, Uddevalla (SWE)","Rimnersvallen, Uddevalla",12,llm_gemini_v4,high,"Altitude derived from topographic map data for the stadium's specific coordinates (approx. 58.356° N, 11.918° E)."
Banská Bystrica (SVK),Banska Bystrica,345,llm_gemini_v4,high,"The raw string only provides the city. The main athletics venues (both the indoor Športová hala Dukla and the outdoor Štadión SNP) are co-located in the Štiavničky sports complex. The altitude is derived from topographical data for this specific location, which is more precise than the city's average elevation."
"Stade de Vongy, Thonon-les-Bains (FRA)","Stade de Vongy, Thonon-les-Bains",378,llm_gemini_v4,high,"Based on topographic map data for the stadium's specific location in Thonon-les-Bains, which is situated on the shore of Lake Geneva (elevation ~372m)."
"Campo Scuola, Catania (ITA)","Campo Scuola, Catania",33,llm_gemini_v4,high,Altitude derived from topographical map data for the specific coordinates of the athletics track in Catania.
"Weaver Stadium, Princeton, NJ (USA)","Weaver Stadium, Princeton",34,llm_gemini_v4,high,Elevation derived from topographic map data for the specific coordinates of Weaver Stadium at Princeton University.
Tehran (IRI),Tehran,1503,llm_gemini_v4,medium,"Raw string only specifies the city of Tehran, which has a wide range of elevations (approx. 1100m to 1700m). Altitude is based on the Aftab-e Enghelab Sport Complex, the primary athletics venue in the city, which has an elevation of approximately 1503m based on topographic data. Confidence is 'medium' as the specific venue had to be inferred."
"CSU Titan Track Complex, Fullerton, CA (USA)","CSU Titan Track Complex, Fullerton",91,llm_gemini_v4,high,"Elevation of the specific track location at California State University, Fullerton, confirmed via topographic data."
"Lohrheidestadion, Wattenscheid, Bochum (GER)","Lohrheidestadion, Wattenscheid, Bochum",65,llm_gemini_v4,high,"Altitude derived from topographical data for the stadium's specific coordinates (51.48° N, 7.15° E)."
"South Sports Campus, Carlow (IRL)","South Sports Campus, Carlow",61,llm_gemini_v4,high,Altitude determined using topographic map data for the specific location of the South Sports Campus athletics track in Carlow.
"Stade du Brotillon, Pierre-Bénite (FRA)","Stade du Brotillon, Pierre-Benite",163,llm_gemini_v4,high,"Altitude derived from topographic map data for the stadium's specific coordinates (approx. 45.70° N, 4.82° E) in Pierre-Bénite."
"Alumni Field, Windsor (CAN)","Alumni Field, Windsor",181,llm_gemini_v4,high,"Altitude based on topographical data for the specific location of Alumni Field at the University of Windsor, Ontario."
"Beroe Stadium, Stara Zagora (BUL)","Beroe Stadium, Stara Zagora",228,llm_gemini_v4,high,"Altitude derived from topographic data for the stadium's specific coordinates (approx. 42.429° N, 25.641° E)."
"Heggedal kastarena, Heggedal (NOR)","Heggedal Kastarena, Heggedal",102,llm_gemini_v4,high,"Altitude derived from topographic map data for the specific venue location in Heggedal, Asker."
"Brick Breeden Fieldhouse, Bozeman, MT (USA)","Brick Breeden Fieldhouse, Bozeman, MT",1495,llm_gemini_v4,high,"The venue is located on the campus of Montana State University in Bozeman, a well-known high-altitude location. Topographical data for the specific coordinates of the fieldhouse confirms an elevation of approximately 1495 meters (4905 feet)."
"Pista de Almeirim, Almeirim (POR)","Pista de Almeirim, Almeirim",12,llm_gemini_v4,high,"Altitude derived from topographic map data for the specific coordinates of the athletics track (approx. 39.211° N, 8.623° W)."
"Športni park, Domžale (SLO)","Športni park, Domžale",304,llm_gemini_v4,high,"Elevation derived from topographical data for the stadium's specific coordinates (46.136°N, 14.592°E), which is consistent with the official average elevation of the city of Domžale."
"Estadio Nacional do Zimpeto, Maputo (MOZ)","Estadio Nacional do Zimpeto, Maputo",58,llm_gemini_v4,high,Altitude derived from digital elevation models for the stadium's specific coordinates. Maputo is a coastal city with low elevation.
"Městský stadion, Rumburk (CZE)","Mestsky Stadion, Rumburk",384,llm_gemini_v4,high,"Altitude derived from digital elevation models for the specific coordinates of the stadium in Rumburk, Czechia."
"Provincial domain Huizingen, Huizingen (BEL)","Provincial Domain Huizingen, Huizingen",48,llm_gemini_v4,high,Altitude determined from topographic map data for the specific athletics track within the Provincial Domain Huizingen.
"Miloud HEDEFI Athletics Stadium, Oran (ALG)","Miloud Hadefi Athletics Stadium, Oran",108,llm_gemini_v4,high,"Elevation derived from topographical data for the stadium's specific coordinates (approx. 35.73° N, 0.54° W)."
"Stade André Alsina, Perpignan (FRA)","Stade Andre Alsina, Perpignan",43,llm_gemini_v4,high,"Altitude derived from geographic data for the stadium's specific location, which is adjacent to Perpignan–Rivesaltes Airport (elevation 44m)."
"Throwing Stadium, Balchik (BUL)","Throwing Stadium, Balchik",198,llm_gemini_v4,high,"Altitude derived from geographic coordinates of the European Throwing Center in Balchik, which is located on the upper plateau of the coastal town."
"Amahoro National Stadium, Kigali (RWA)","Amahoro National Stadium, Kigali",1550,llm_gemini_v4,high,"Based on the known high altitude of Kigali, Rwanda. The stadium's specific location has an elevation of approximately 1550m."
"Ahearn Field House, Manhattan, KS (USA)","Ahearn Field House, Manhattan",319,llm_gemini_v4,high,Elevation of the Kansas State University campus where the indoor venue is located. Confirmed via topographical data for the building's coordinates.
"Stade Hubert Steinmetz, Brumath (FRA)","Stade Hubert Steinmetz, Brumath",148,llm_gemini_v4,high,Altitude based on digital elevation models for the specific coordinates of the stadium. The town of Brumath's elevation ranges from 134m to 189m.
"Creps de Poitiers, Vouneuil-sous-Biard (FRA)","Creps de Poitiers, Vouneuil-sous-Biard",128,llm_gemini_v4,high,Elevation derived from topographical data for the specific coordinates of the CREPS facility in Vouneuil-sous-Biard.
"Tom Samuels Track, Richmond, KY (USA)","Tom Samuels Track, Richmond",301,llm_gemini_v4,high,"The venue is the track at Roy Kidd Stadium, Eastern Kentucky University. Altitude was determined using the specific geographic coordinates of the stadium (37.738° N, 84.298° W)."
"Westpfalzstadion, Zweibrücken (GER)","Westpfalzstadion, Zweibrucken",335,llm_gemini_v4,high,"Elevation derived from topographical map data for the specific coordinates of the stadium, which is located on a hill (Bubenhauser Berg) above the city."
"Pista di Virgiliano, Napoli (ITA)","Pista di Virgiliano, Napoli",150,llm_gemini_v4,high,The venue is located within Parco Virgiliano in the elevated Posillipo quarter of Naples. Topographic maps and digital elevation models for this specific location consistently show an altitude of approximately 150 meters.
"Randy Marion Track & Field Facility, Boone, NC (USA)","Randy Marion Track & Field Facility, Boone",1016,llm_gemini_v4,high,"The venue is part of Appalachian State University's Kidd Brewer Stadium complex, which has a widely cited elevation of 3,333 feet (1,016 m)."
"Iron Wood Throwers Center, Rathdrum, ID (USA)","Iron Wood Throwers Center, Rathdrum",675,llm_gemini_v4,high,"Altitude derived from topographical map data for the venue's specific location in Rathdrum, Idaho."
"Stenkullens IP, Lerum (SWE)","Stenkullens IP, Lerum",27,llm_gemini_v4,high,"Altitude derived from digital elevation models for the specific coordinates of the athletics track in Lerum, Sweden."
"Suojalinna, Pudasjärvi (FIN)","Suojalinna, Pudasjärvi",109,llm_gemini_v4,high,"Elevation of the Suojalinna sports field in Pudasjärvi determined from digital elevation models based on its specific geographic coordinates (approx. 65.36°N, 26.99°E)."
"Sportovní areál Na Lukách, Vlašim (CZE)","Sportovni Areal Na Lukach, Vlasim",387,llm_gemini_v4,high,"Elevation derived from topographic map data for the specific coordinates of the venue (49.701° N, 14.887° E)."
"Stade Jules Ladoumegue, La Roche-sur-Yon (FRA)","Stade Jules Ladoumegue, La Roche-sur-Yon",75,llm_gemini_v4,high,Based on topographic data for the specific location of the stadium in La Roche-sur-Yon.
"Seinäjoen keskusurheilukenttä, Seinäjoki (FIN)","Seinäjoen Keskusurheilukenttä, Seinäjoki",44,llm_gemini_v4,high,"Altitude derived from topographic maps for the stadium's specific location in Seinäjoki, Finland."
"Urheilukenttä, Vaajakoski, Jyväskylä (FIN)","Urheilukenttä, Vaajakoski, Jyväskylä",88,llm_gemini_v4,high,"Altitude derived from topographical map data for the specific location of the Vaajakoski sports field (Urheilutie 36, Jyväskylä)."
"Pista de Atletismo El Cuartillo, Cáceres (ESP)","Pista de Atletismo El Cuartillo, Caceres",438,llm_gemini_v4,high,"Altitude derived from topographical data for the venue's specific coordinates (approx. 39.49° N, 6.40° W)."
"Ranheimshallen, Trondheim (NOR)","Ranheimshallen, Trondheim",11,llm_gemini_v4,high,"Elevation for the specific indoor arena's location in Ranheim, Trondheim, sourced from official Norwegian topographical map data. The venue is situated close to the Trondheim Fjord."
"Stadion Bodenbacher Straße, Dresden (GER)","Stadion Bodenbacher Strasse, Dresden",122,llm_gemini_v4,high,"Altitude derived from topographic map data for the specific stadium location (51.032°N, 13.785°E)."
"Atletiekvereniging Almere '81, Almere (NED)","Atletiekvereniging Almere 81, Almere",-4,llm_gemini_v4,high,"The venue is located in Almere, a city built on the Flevopolder, a land reclamation project in the Netherlands. Topographic data for this specific area consistently shows an elevation of approximately -4 meters below sea level."
"Urheilukenttä, Pihtipudas (FIN)","Urheilukenttä, Pihtipudas",143,llm_gemini_v4,high,Elevation derived from topographic map data for the specific coordinates of the Pihtipudas sports field.
"Stade Jacques Fouroux, Auch (FRA)","Stade Jacques Fouroux, Auch",135,llm_gemini_v4,high,"Altitude derived from topographical data for the stadium's specific coordinates (approx. 43.63° N, 0.59° E)."
"Stade Edouard Fenal, Lunéville (FRA)","Stade Edouard Fenal, Luneville",228,llm_gemini_v4,high,"Altitude derived from topographical data for the stadium's specific coordinates (approx. 48.58° N, 6.50° E), which is consistent with the city of Lunéville's elevation range."
"Sportpark Noord, Goes (NED)","Sportpark Noord, Goes",1,llm_gemini_v4,high,"Goes is a city in the low-lying province of Zeeland, Netherlands. Topographical maps and elevation data for the specific location of Sportpark Noord confirm an altitude of approximately 1 meter above sea level."
"Estadio Corona de Aragón, Zaragoza (ESP)","Estadio Corona de Aragon, Zaragoza",218,llm_gemini_v4,high,"Altitude derived from digital elevation models for the specific coordinates of the venue, now known as Centro Aragonés del Deporte."
"Newport Stadium, Newport (GBR)","Newport Stadium, Newport",4,llm_gemini_v4,high,"Altitude derived from topographical data for the stadium's specific coordinates (51.563°N, 2.969°W). The venue is located in a low-lying coastal area near the River Usk estuary."
"Carl-Kaufmann-Stadion, Karlsruhe (GER)","Carl-Kaufmann-Stadion, Karlsruhe",117,llm_gemini_v4,high,"Elevation derived from topographic data for the specific coordinates of the stadium in Karlsruhe, Germany."
"Birsa Munda Foot Ball Stadium, Morabadi, Ranchi (IND)","Birsa Munda Football Stadium, Morabadi, Ranchi",651,llm_gemini_v4,high,"Based on the average elevation of the city of Ranchi (651m), which is situated on the Chota Nagpur Plateau. The stadium's specific location is consistent with this elevation."
"Hans-Bretz-Stadion, Ettlingen (GER)","Hans-Bretz-Stadion, Ettlingen",132,llm_gemini_v4,high,"Altitude derived from topographical data for the stadium's specific coordinates (approx. 48.933° N, 8.415° E)."
"Viborg Atletik Stadion, Viborg (DEN)","Viborg Atletik Stadion, Viborg",48,llm_gemini_v4,high,"Elevation derived from topographic map data for the stadium's specific coordinates (approx. 56.44° N, 9.38° E)."
Celje (SLO),"Stadion Kladivar, Celje",241,llm_gemini_v4,high,"Identified as Stadion Kladivar, the primary athletics venue in Celje, Slovenia. Altitude is based on topographical data for the stadium's specific location."
"Ayrshire Athletics Arena, Kilmarnock (GBR)","Ayrshire Athletics Arena, Kilmarnock",33,llm_gemini_v4,high,"Altitude derived from topographical map data for the venue's specific coordinates (approx. 55.601° N, 4.481° W)."
San Carlos (URU),"Pista de Atletismo, San Carlos",29,llm_gemini_v4,high,"Identified the primary athletics venue for the city as the Pista de Atletismo del Campus de Maldonado, located nearby. Altitude is based on the specific coordinates of this track."
"Halle de la Vallée, Fleury les Aubrais (FRA)","Halle de la Vallee, Fleury les Aubrais",123,llm_gemini_v4,high,"Elevation for the specific location of the venue in Fleury-les-Aubrais, a suburb of Orléans, confirmed using topographic map data."
"Mösle-Stadium, Götzis (AUT)","Mosle-Stadium, Götzis",412,llm_gemini_v4,high,"Altitude derived from topographic data for the stadium's specific coordinates (approx. 47.335° N, 9.645° E), which consistently indicate an elevation of ~412m."
Santo Domingo (DOM),"Estadio Olimpico Felix Sanchez, Santo Domingo",14,llm_gemini_v4,high,"The raw string refers to the city. The primary international athletics venue is the Estadio Olímpico Félix Sánchez, host of the 2003 Pan American Games. Altitude is derived from topographic data for the stadium's specific location."
"Mangaung Athletics Stadium, Bloemfontein (RSA)","Mangaung Athletics Stadium, Bloemfontein",1395,llm_gemini_v4,high,"Based on the well-documented high altitude of the city of Bloemfontein, South Africa, which is approximately 1,395 meters above sea level."
"Miesto Stadionas, Alytus (LTU)","Miesto Stadionas, Alytus",98,llm_gemini_v4,high,"Altitude derived from topographic data for the stadium's specific coordinates (54.398° N, 24.035° E)."
"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)","University of Kentucky Outdoor Track Facility, Lexington",297,llm_gemini_v4,high,"Elevation derived from topographic maps for the specific location of the University of Kentucky track complex (approx. 38.026° N, 84.508° W)."
"Millennium Arena, Battersea Park, London (GBR)","Millennium Arena, Battersea Park, London",4,llm_gemini_v4,high,"The venue is located in Battersea Park, adjacent to the River Thames in London, a low-lying area. Topographical data for the specific location indicates an elevation of approximately 4 meters above sea level."
"Notre Dame HS, Sherman Oaks, CA (USA)","Notre Dame HS, Sherman Oaks",211,llm_gemini_v4,high,"Elevation for the specific address of Notre Dame High School, Sherman Oaks, CA, from topographic map data."
"Stade Municipal, Obernai (FRA)","Stade Municipal, Obernai",183,llm_gemini_v4,high,"Altitude derived from topographic map data for the specific coordinates of the stadium in Obernai, France."
"Greveskogen idrettspark, Tønsberg (NOR)","Greveskogen Idrettspark, Tonsberg",48,llm_gemini_v4,high,Elevation data from official Norwegian mapping service (Norgeskart.no) for the specific coordinates of the athletics track.
"Municipal Stadium, Egio (GRE)","Municipal Stadium, Egio",12,llm_gemini_v4,high,"Elevation derived from topographical data for the specific coordinates of the Municipal Stadium of Aigio (Δημοτικό Στάδιο Αιγίου), which is located near the coast."
"Estadi Municipal Josep Pla, Palafrugell (ESP)","Estadi Municipal Josep Pla, Palafrugell",48,llm_gemini_v4,high,"Altitude derived from topographic data for the specific stadium location in Palafrugell, Spain."
"Reggie Lewis Center, Boston, MA (USA)","Reggie Lewis Center, Boston, MA",7,llm_gemini_v4,high,"The Reggie Lewis Center is an indoor venue located in Boston, a low-lying coastal city. Topographical data for the venue's specific address (1350 Tremont St) indicates an elevation of approximately 23 feet, which is 7 meters."
"Parc des Sports H. Longuet, Viry-Chatillon (FRA)","Parc des Sports H. Longuet, Viry-Chatillon",36,llm_gemini_v4,high,"Elevation derived from digital elevation models for the specific coordinates of the stadium in Viry-Châtillon, France."
"Stadion, Jockgrim (GER)","Stadion, Jockgrim",114,llm_gemini_v4,high,"Based on digital elevation models for the specific location of the stadium in Jockgrim, Germany, which lies in the low-altitude Upper Rhine Plain."
"Campo di Atletica, Asti (ITA)","Campo Scuola di Atletica Leggera, Asti",121,llm_gemini_v4,high,"Elevation derived from topographical map data for the specific coordinates of the athletics track in Asti, which is consistent with the city's average elevation of 123m."
"Municipal Stadium, Oita (JPN)","Municipal Stadium, Oita",4,llm_gemini_v4,high,"Based on topographical data for the Oita Municipal Athletic Stadium's specific coordinates (approx. 33.243°N, 131.625°E). The venue is located in a coastal city near sea level."
"Dinamo Stadium, Krasnodar (RUS)","Dinamo Stadium, Krasnodar",29,llm_gemini_v4,high,"Based on topographic data for the city of Krasnodar, which has an average elevation of 25-30 meters. The stadium is located within this range."
"Pista Universidad USC, Santiago de Compostela (ESP)","Pista Universidad USC, Santiago de Compostela",248,llm_gemini_v4,high,Altitude derived from topographic map data for the specific coordinates of the Estadio de Atletismo de la USC on the Campus Vida.
"Stade Léo Lagrange, Tergnier (FRA)","Stade Leo Lagrange, Tergnier",51,llm_gemini_v4,high,Elevation for the city of Tergnier is approximately 50m. Digital elevation models for the specific coordinates of the stadium confirm an altitude of ~51m.
"Športni park Kozje, Kozje (SLO)","Sportni Park Kozje, Kozje",228,llm_gemini_v4,high,"Based on the official elevation of the settlement of Kozje, Slovenia, where the sports park is located."
Sucre (BOL),"Estadio Olimpico Patria, Sucre",2800,llm_gemini_v4,high,"Sucre is a well-known high-altitude city in Bolivia. The primary athletics venue, Estadio Olímpico Patria, is situated at approximately 2,800 meters above sea level."
"Pauley Track & Field Complex UC Santa Barbara, Santa Barbara, CA (USA)","Pauley Track & Field Complex, Santa Barbara",4,llm_gemini_v4,high,"Elevation derived from topographical map data for the specific coordinates of the track at UC Santa Barbara, which is located adjacent to the Pacific Ocean."
Sydney (AUS),"Sydney Olympic Park Athletic Centre, Sydney",9,llm_gemini_v4,high,"The raw string specifies only the city. Assumed the primary athletics venue, the Sydney Olympic Park Athletic Centre. Altitude is based on topographic data for the Homebush Bay area."
"Dial Regional Athletic Track, Penguin (AUS)","Dial Regional Athletic Track, Penguin",33,llm_gemini_v4,high,"Altitude derived from topographical map data for the specific coordinates of the venue in Penguin, Tasmania."
"Stade du Chalet, St-Junien (FRA)","Stade du Chalet, Saint-Junien",190,llm_gemini_v4,high,"Altitude derived from topographic map data for the specific stadium location in Saint-Junien, France."
"Sportanlage am Weinweg, Regensburg (GER)","Sportanlage am Weinweg, Regensburg",346,llm_gemini_v4,high,"Altitude derived from topographical map data for the venue's specific coordinates (approx. 49.033° N, 12.088° E)."
"Walter Mundorf Stadion, Siegburg (GER)","Walter Mundorf Stadion, Siegburg",63,llm_gemini_v4,high,"Altitude derived from topographical data for the stadium's specific location in Siegburg, Germany."
"Stadspark, Groningen (NED)","Stadspark, Groningen",7,llm_gemini_v4,high,"Based on the known low elevation of the city of Groningen, Netherlands. Topographic maps confirm the altitude of the Stadspark area is approximately 7 meters above sea level."
"Stadium Cours de Picardie, Noyon (FRA)","Stade du Cours de Picardie, Noyon",43,llm_gemini_v4,high,"Altitude derived from topographic map data for the specific coordinates of the stadium in Noyon, France."
"Houston-Yeoman FH, Houston, TX (USA)","Yeoman Fieldhouse, Houston",13,llm_gemini_v4,high,The Yeoman Fieldhouse is located on the University of Houston campus. Topographic data from USGS for this specific location shows an elevation of approximately 13 meters (43 feet).
"Washburn Indoor Athletic Facility, Topeka, KS (USA)","Washburn Indoor Athletic Facility, Topeka",288,llm_gemini_v4,high,"The city of Topeka, Kansas, where the Washburn University campus is located, has an average elevation of approximately 288m (945 ft)."
"Leichtathletik-Stadion Gersag, Emmenbrücke (SUI)","Leichtathletik Stadion Gersag, Emmenbrücke",429,llm_gemini_v4,high,Elevation derived from topographic maps (Swisstopo) for the specific location of the stadium in Emmenbrücke.
"Stadion SK Hranice, Hranice (CZE)","Stadion SK Hranice, Hranice",255,llm_gemini_v4,high,"Altitude determined from topographic map data for the specific coordinates of the stadium in Hranice, Czech Republic."
Barquisimeto (VEN),"Polideportivo Maximo Viloria, Barquisimeto",575,llm_gemini_v4,high,"The primary athletics venue in Barquisimeto is the Polideportivo Máximo Viloria. Altitude determined from topographical data for the stadium's specific coordinates, consistent with the city's average elevation of 566m."
"Queen's Park Athletics Stadium, Inverness (GBR)","Queen's Park Athletics Stadium, Inverness",6,llm_gemini_v4,high,"Altitude derived from topographic map data for the stadium's specific location in Bught Park, adjacent to the River Ness."
"Veterans Memorial Stadium, Coffeyville, KS (USA)","Veterans Memorial Stadium, Coffeyville",224,llm_gemini_v4,high,"Based on topographical data for Coffeyville, Kansas, which has an average elevation of approximately 735 feet (224m)."
"Stadion AWF, Biala Podlaska (POL)","Stadion AWF, Biala Podlaska",148,llm_gemini_v4,high,"Altitude derived from topographic map data for the stadium's specific coordinates in Biała Podlaska, Poland."
"Huai'an Sports Center, Huai'an (CHN)","Huai'an Sports Center, Huai'an",12,llm_gemini_v4,high,"Altitude derived from topographic map data for the venue's specific coordinates (approx. 33.56° N, 119.03° E) in the low-lying Jianghuai Plain."
Bærum (NOR),"Bærum Idrettspark, Bærum",12,llm_gemini_v4,high,"Altitude of Bærum Idrettspark, the primary athletics venue in the municipality of Bærum, based on topographic map data. The venue is located near sea level in Sandvika."
"Sale, Rabat (MAR)","Sale, Rabat",65,llm_gemini_v4,high,"Altitude based on the Complexe Sportif Prince Moulay Abdellah in Rabat, the primary international athletics venue for the Rabat-Salé metropolitan area. Elevation confirmed via topographical data."
"Carl-Heinz-Reiche-Stadion, Lage (GER)","Carl-Heinz-Reiche-Stadion, Lage",96,llm_gemini_v4,high,"Altitude derived from topographic map data for the specific coordinates of the stadium in Lage, Germany."
"Stadion Lekkoatletyczny i Rugby, Gdansk (POL)","Stadion Lekkoatletyczny i Rugby, Gdansk",6,llm_gemini_v4,high,The stadium is located in the low-lying port city of Gdansk. Topographic data for the venue's specific location confirms an elevation of approximately 6 meters above sea level.
"AV Generaal Michaelis, Best (NED)","AV Generaal Michaelis, Best",19,llm_gemini_v4,high,"Elevation data for the specific coordinates of the athletics track in Best, Netherlands, from topographic map services."
"CTEIB Palma, Palma de Mallorca (ESP)","CTEIB Palma, Palma de Mallorca",11,llm_gemini_v4,high,Elevation derived from topographical map data for the specific coordinates of the Centre de Tecnificació Esportiva Illes Balears athletics track.
"Zitadelle Spandau, Berlin (GER)","Zitadelle Spandau, Berlin",31,llm_gemini_v4,high,"Elevation derived from topographic map data for the specific location of the Spandau Citadel, which is situated at a low point near the Havel river."
Marseille (FRA),"Stade Pierre-Delort, Marseille",17,llm_gemini_v4,high,"Identified the primary athletics venue in Marseille as Stade Pierre-Delort, host of the Meeting de Marseille. Altitude determined from topographic data for the stadium's specific location."
"Estadi Comunal, Andorra La Vella (AND)","Estadi Comunal, Andorra La Vella",1013,llm_gemini_v4,high,"The stadium is located in Andorra la Vella, the highest capital city in Europe. The specific elevation of the stadium is widely cited as 1,013m based on topographical data and venue information."
"Estádio Municipal de Ponte de Sôr, Ponte de Sor (POR)","Estadio Municipal de Ponte de Sor, Ponte de Sor",88,llm_gemini_v4,high,Altitude derived from topographic data for the specific coordinates of the Estádio Municipal de Ponte de Sor.
"Iharos Sándor Atlétikai Pálya, Budapest (HUN)","Iharos Sandor Atletikai Palya, Budapest",104,llm_gemini_v4,high,Altitude derived from topographic data for the venue's specific location on Margaret Island (Margit-sziget).
"Centro Municipal de Atletismo, Vila Nova de Cerveira (POR)","Centro Municipal de Atletismo, Vila Nova de Cerveira",6,llm_gemini_v4,high,"Elevation derived from the specific coordinates (approx. 41.938° N, 8.742° W) of the athletics track using a digital elevation model. The venue is located on the bank of the Minho River, close to sea level."
"Centro Estágios Luso, Luso (POR)","Centro Estagios Luso, Luso",218,llm_gemini_v4,high,"Altitude derived from topographical data for the specific coordinates of the sports complex in the town of Luso, which is situated on the slopes of the Buçaco mountains."
Sollentuna (SWE),"Sollentunavallen, Sollentuna",18,llm_gemini_v4,high,"The venue is identified as Sollentunavallen, the main athletics stadium in Sollentuna, which hosts the annual Sollentuna Grand Prix. Altitude is determined from topographical data for the stadium's specific location."
"Parkstadion, Lustenau (AUT)","Parkstadion, Lustenau",404,llm_gemini_v4,high,"Based on the official elevation of the town of Lustenau (404m), which is consistent with topographical data for the stadium's specific location in the Rhine Valley."
"Clyde Hart Track & Field Stadium, Waco, TX (USA)","Clyde Hart Track & Field Stadium, Waco",123,llm_gemini_v4,high,Elevation derived from topographical data for the stadium's specific coordinates at Baylor University.
